,City,State,Zip Code
0,Aberdeen,MD,21001
1,Aberdeen,NC,28315
2,Aberdeen,MS,39730
3,Aberdeen,KY,42201
4,Aberdeen,OH,45101
5,Aberdeen,SD,57401 57402
6,Aberdeen,ID,83210
7,Aberdeen,WA,98520
8,Aberdeen,MD,21001
9,Aberdeen,NC,28315
10,Aberdeen,MS,39730
11,Aberdeen,KY,42201
12,Aberdeen,OH,45101
13,Aberdeen,SD,57401 57402
14,Aberdeen,ID,83210
15,Aberdeen,WA,98520
16,Abilene,KS,67410
17,Abilene,TX,79601 79602 79603 79604 79605 79606 79607 79608 79697 79698 79699
18,Abington,MA,02351
19,Abington,CT,06230
20,Abington,PA,19001
21,Acton,MA,01718 01719 01720
22,Acton,ME,04001
23,Acton,MT,59002
24,Acton,CA,93510
25,Acworth,NH,03601
26,Acworth,GA,30101 30102
27,Ada,OH,45810
28,Ada,MI,49301 49355 49356 49357
29,Ada,MN,56510
30,Ada,OK,74820 74821
31,Addison,ME,04606
32,Addison,NY,14801
33,Addison,PA,15411
34,Addison,AL,35540
35,Addison,MI,49220
36,Addison,IL,60101
37,Addison,TX,75001
38,Adelanto,CA,92301
39,Adelphi,OH,43101
40,Adrian,PA,16210
41,Adrian,WV,26210
42,Adrian,GA,31002
43,Adrian,MI,49221
44,Adrian,MN,56110 56146
45,Adrian,MO,64720
46,Adrian,TX,79001
47,Adrian,OR,97901
48,Affton,,
49,Agawam,MA,01001
50,Agoura,,
51,Agoura Hills,CA,91301 91376 91377
52,Aiken,SC,29801 29802 29803 29804 29805 29808
53,Aiken,TX,79221
54,Akron,NY,14001
55,Akron,PA,17501
56,Akron,AL,35441
57,Akron,OH,44301 44302 44303 44304 44305 44306 44307 44308 44309 44310 44311 44312 44313 44314 44315 44316 44317 44319 44320 44321 44322 44325 44326 44328 44333 44334 44372 44393 44396 44398 44399
58,Akron,IN,46910
59,Akron,MI,48701
60,Akron,IA,51001
61,Akron,CO,80720
62,Alabaster,AL,35007 35144
63,Alafaya,,
64,Alameda,CA,94501 94502
65,Alamo,GA,30411
66,Alamo,TN,38001
67,Alamo,IN,47916
68,Alamo,ND,58830
69,Alamo,TX,78516
70,Alamo,NV,89001 89017
71,Alamo,CA,94507
72,Alamogordo,NM,88310 88311
73,Albany,VT,05820
74,Albany,NY,12201 12202 12203 12204 12205 12206 12207 12208 12209 12210 12211 12212 12214 12220 12222 12223 12224 12225 12226 12227 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12247 12248 12249 12250 12252 12255 12256 12257 12260 12261 12288
75,Albany,GA,31701 31702 31703 31704 31705 31706 31707 31708 31721
76,Albany,KY,42602
77,Albany,OH,45710
